Record_ID,Order_ID,Production_Date,Plant_Location,Machine_ID,Machine_Type,Machine_Age_Years,Shift,Operator_ID,Supervisor_Name,Product_Line,Raw_Material,Supplier_Name,Batch_Size,Planned_Quantity,Actual_Quantity_Produced,Defect_Count,Quality_Grade,Inspection_Passed,Downtime_Minutes,Cycle_Time_Sec,Temperature_C,Humidity_Pct,Vibration_mm_s,Energy_Consumption_kWh,Unit_Cost_USD,Scrap_Cost_USD,Labor_Hours,OEE_Percent,Last_Maintenance_Days_Ago,Maintenance_Status,Remarks,Yield_Percent,Defect_Rate_Percent
1,ORD-69000,2025-12-21,Plant A,MC-023,CNC Lathe,4.5,Night,OP0037,Unknown,Packaging Unit,Polycarbonate,Unknown,150,626,456,5,Not Graded,No,42.8,52.24,56.3,39.6,0.83,124.46,7.23,30.1,6.04,41.8,18,OK,OK,72.84,1.1
2,ORD-88724,2026-01-22,Plant B,MC-010,3D Printer,7.8,Morning,OP0044,Unknown,Medical Device Part,Steel,SteelCorp Ltd,200,539,523,11,C,Yes,0.6,33.8,65.7,63.1,4.97,124.39,18.34,181.44,6.81,82.5,39,Not Scheduled,No Remarks,97.03,2.1
3,ORD-59417,2025-12-14,Plant A,MC-014,Injection Molder,4.5,Morning,Unknown,A. Iyer,Medical Device Part,Polycarbonate,Global Alloys,100,449,342,7,C,Yes,42.7,44.17,56.7,47.2,1.49,159.64,40.68,232.27,9.61,76.5,41,Scheduled,No Remarks,76.17,2.05
4,ORD-69099,2026-03-21,Plant D,MC-019,3D Printer,7.0,Evening,OP0112,P. Rao,Metal Bracket,Polycarbonate,MetalWorks Pvt Ltd,150,262,234,7,B,Not Recorded,5.9,44.14,60.0,46.7,2.76,143.47,14.76,83.04,7.76,54.4,52,Due,Late shift start,89.31,2.99
5,ORD-18675,2026-02-20,Plant B,MC-024,Injection Molder,4.4,Morning,OP0088,A. Iyer,Consumer Plastics,Unknown,Poly Materials Inc,100,348,354,10,A,Not Recorded,12.1,41.39,54.7,36.4,1.5,157.0,36.59,323.51,8.2,44.3,1,Overdue,No Remarks,101.72,2.82
6,ORD-39899,2026-08-23,Plant A,MC-015,CNC Lathe,1.5,Evening,OP0056,Unknown,Electronics Housing,Aluminum,MetalWorks Pvt Ltd,300,411,365,6,A,Yes,5.5,47.01,75.9,55.1,3.77,149.34,16.93,63.17,8.63,94.7,13,Scheduled,Line stopped briefly,88.81,1.64
7,ORD-28289,2026-02-25,Plant B,MC-022,Press Brake,13.9,Night,OP0049,P. Rao,Medical Device Part,Polycarbonate,SteelCorp Ltd,200,251,210,4,B,Not Recorded,9.7,41.15,64.5,47.7,3.96,116.12,35.74,140.45,8.59,95.4,0,Scheduled,No Remarks,83.67,1.9
8,ORD-73249,2026-08-15,Plant A,MC-024,Assembly Line,13.6,Evening,OP0002,Unknown,Industrial Fastener,Cast Iron,MetalWorks Pvt Ltd,200,549,547,8,A,Yes,18.2,38.83,64.1,47.6,2.16,151.67,35.44,181.28,7.52,69.2,5,Due,Routine check,99.64,1.46
9,ORD-72804,2026-08-11,Plant A,MC-030,Press Brake,14.6,Night,OP0089,S. Kumar,Consumer Plastics,Unknown,Global Alloys,300,398,344,4,Not Graded,Yes,31.9,23.85,53.6,37.0,3.22,97.18,4.05,15.05,7.84,84.0,21,Overdue,OK,86.43,1.16
10,ORD-91019,2026-09-05,Unknown,MC-009,Laser Cutter,13.9,Morning,OP0095,P. Rao,Home Appliance Component,Aluminum,Unknown,250,401,369,6,Not Graded,No,1.7,39.24,76.7,33.5,4.59,84.4,17.38,63.18,9.78,100.0,25,Not Scheduled,customer complaint logged,92.02,1.63
11,ORD-73393,2026-07-11,Plant D,MC-040,Injection Molder,5.2,Night,OP0051,Unknown,Automotive Parts,ABS Plastic,Precision Components Co,200,427,316,4,Not Graded,Yes,2.1,58.3,80.8,43.4,0.3,101.67,12.45,37.39,6.49,88.1,2,Not Scheduled,Routine check,74.0,1.27
12,ORD-89050,2026-07-13,Plant E,MC-017,Laser Cutter,9.1,Morning,OP0024,N. Fernandes,Electronics Housing,Steel,Precision Components Co,100,437,431,9,B,Yes,5.3,41.1,66.3,43.2,1.08,125.01,9.28,52.27,9.9,50.2,18,Not Scheduled,Routine check,98.63,2.09
13,ORD-21149,2026-08-25,Plant B,MC-037,Assembly Line,1.5,Morning,OP0078,Unknown,Medical Device Part,Aluminum,MetalWorks Pvt Ltd,100,644,621,15,B,Not Recorded,6.6,53.58,64.7,49.2,1.43,102.74,13.51,144.11,9.65,89.2,36,Overdue,Material shortage,96.43,2.42
14,ORD-67732,2025-12-09,Plant D,MC-032,3D Printer,4.5,Morning,OP0010,P. Rao,Medical Device Part,Steel,Precision Components Co,50,509,462,10,B,No,26.7,57.7,66.4,54.3,2.67,94.34,40.76,265.92,8.37,85.9,77,Due,Power fluctuation,90.77,2.16
15,ORD-17705,2026-04-14,Plant D,MC-007,Conveyor Unit,10.0,Evening,OP0108,A. Iyer,Medical Device Part,Aluminum,Poly Materials Inc,50,621,693,14,A+,No,29.0,28.73,65.8,45.1,2.79,149.97,42.25,564.38,7.1,90.0,25,Due,Routine check,111.59,2.02
16,ORD-31455,2026-06-07,Plant C,MC-011,CNC Lathe,7.9,Evening,OP0097,M. Naidu,Aerospace Component,Aluminum,Precision Components Co,250,493,409,12,B,Not Recorded,67.1,32.91,64.9,47.8,3.12,100.42,27.19,257.82,7.4,82.3,18,Due,Late shift start,82.96,2.93
17,ORD-94620,2026-05-25,Plant C,MC-012,CNC Lathe,5.8,Evening,OP0098,N. Fernandes,Automotive Parts,ABS Plastic,Unknown,150,499,531,14,A+,No,11.3,34.71,49.3,51.9,3.1,79.73,34.84,282.47,8.89,61.8,61,Due,Power fluctuation,106.41,2.64
18,ORD-72344,2026-01-17,Plant C,MC-023,Injection Molder,6.4,Night,OP0026,N. Fernandes,Industrial Fastener,Copper,SteelCorp Ltd,150,346,320,9,A,Yes,4.6,33.9,83.5,52.7,5.8,103.63,36.1,191.82,6.9,86.7,26,OK,Material shortage,92.49,2.81
19,ORD-82641,2026-09-07,Plant D,MC-034,Laser Cutter,2.1,Morning,OP0072,Unknown,Metal Bracket,ABS Plastic,MetalWorks Pvt Ltd,200,677,633,9,C,Yes,13.8,62.45,71.9,32.0,0.83,94.05,34.02,285.2,8.3,69.0,32,OK,No Remarks,93.5,1.42
20,ORD-78762,2026-01-02,Plant C,MC-034,Assembly Line,6.6,Morning,OP0027,A. Iyer,Consumer Plastics,Steel,SteelCorp Ltd,100,521,437,4,A,Yes,34.8,41.58,57.4,50.2,3.54,146.43,11.46,43.31,7.6,53.8,17,OK,No Remarks,83.88,0.92
21,ord1259,2026-08-21,Plant D,MC-024,Stamping Press,4.7,Morning,OP0096,P. Rao,Consumer Plastics,Steel,Poly Materials Inc,150,356,308,5,B,Yes,1.4,68.61,81.2,50.1,1.13,140.44,3.02,10.18,7.21,50.1,2,Due,OK,86.52,1.62
22,ord6318,2026-02-02,Plant B,MC-031,Press Brake,3.6,Night,OP0086,R. Sharma,Home Appliance Component,ABS Plastic,Precision Components Co,100,682,517,8,B,Yes,36.3,36.81,56.0,47.8,1.55,141.91,11.64,83.35,2.6,55.8,24,Due,Routine check,75.81,1.55
23,ORD-36644,2026-04-16,Plant D,MC-028,Laser Cutter,3.3,Evening,OP0084,N. Fernandes,Metal Bracket,Aluminum,Precision Components Co,175,483,479,7,Not Graded,Yes,32.6,43.53,82.8,75.5,3.02,127.98,28.16,166.91,8.35,49.5,15,Not Scheduled,Routine check,99.17,1.46
24,ORD-69863,2025-10-02,Plant A,MC-006,Injection Molder,7.3,Morning,OP0012,M. Naidu,Metal Bracket,Steel,Global Alloys,175,396,409,11,Reject,Yes,18.6,42.92,68.0,72.4,2.02,117.25,31.47,335.28,9.45,59.7,34,Not Scheduled,No Remarks,103.28,2.69
