Record_ID,Order_ID,Production_Date,Plant_Location,Machine_ID,Machine_Type,Machine_Age_Years,Shift,Operator_ID,Supervisor_Name,Product_Line,Raw_Material,Supplier_Name,Batch_Size,Planned_Quantity,Actual_Quantity_Produced,Defect_Count,Quality_Grade,Inspection_Passed,Downtime_Minutes,Cycle_Time_Sec,Temperature_C,Humidity_Pct,Vibration_mm_s,Energy_Consumption_kWh,Unit_Cost_USD,Scrap_Cost_USD,Labor_Hours,OEE_Percent,Last_Maintenance_Days_Ago,Maintenance_Status,Remarks
1,ORD-69000,21/12/2025,PLANT A,MC-023,CNC Lathe,4.5,Night,OP0037,,Packaging Unit,Polycarbonate,,150.0,626.0,,5.0,,No,42.8,52.24,56.3,39.6,0.83,124.46,7.23,30.1,6.04,41.8,18.0,OK,OK
2,ORD-88724,2026-01-22,Plant B,MC-010,3D Printer,7.8,Morning,OP0044,unknown,Medical Device Part,steel,SteelCorp Ltd,200.0,539.0,523.0,11.0,  C  ,Yes,0.6,33.8,65.7,63.1,4.97,124.39,18.34,181.44,6.81,82.5,39.0,N/A,
3,ORD-59417,2025/12/14 07:38,Plant A,MC-014,Injection Molder,4.5,Morning,,A. Iyer,Medical Device Part,Polycarbonate,Global Alloys,100.0,449.0,342.0,7.0,C,Y,42.7,44.17,56.7,47.2,1.49,159.64,40.68,232.27,9.61,76.5,41.0,Scheduled,N/A
4,ORD-69099,2026-03-21,Plant-D,MC-019,3D Printer,7.0,Evening,OP0112,P. Rao,Metal Bracket,Polycarbonate,MetalWorks Pvt Ltd,150.0,262.0,234.0,7.0,grade b,,5.9,44.14,60.0,46.7,2.76,143.47,14.76,83.04,7.76,54.4,52.0,Due,  Late shift start 
5,ORD-18675,02-20-2026,  Plant B  ,MC-024,Injection Molder,4.4,Morning,OP0088,A. Iyer,Consumer Plastics,,Poly Materials Inc,100.0,348.0,354.0,10.0,Grade A,,12.1,41.39,54.7,36.4,1.5,157.0,36.59,323.51,8.2,44.3,1.0,Overdue,N/A
6,ORD-39899,08-23-2026,Plant A,MC-015,CNC Lathe,1.5,Evening,OP0056,,Electronics Housing,ALUMINUM,MetalWorks Pvt Ltd,300.0,411.0,365.0,6.0,Grade A,yes,5.5,47.01,75.9,55.1,3.77,149.34,16.93,63.17,8.63,94.7,13.0,Scheduled,Line stopped briefly
7,ORD-28289,25/02/2026,Plant B,MC-022,Press Brake,13.9,Night,OP0049,P. Rao,Medical Device Part,Polycarbonate,SteelCorp Ltd,200.0,251.0,-210.0,4.0,grade b,,9.7,41.15,64.5,47.7,3.96,,35.74,140.45,8.59,95.4,0.0,Scheduled,
8,ORD-73249,15-Aug-2026,PLANT A,MC-024,Assembly Line,13.6,Evening,OP0002,unknown,Industrial Fastener,Cast Iron,MetalWorks Pvt Ltd,,549.0,547.0,8.0,Grade A,Yes,18.2,38.83,64.1,47.6,2.16,151.67,35.44,181.28,7.52,69.2,5.0,Due,Routine check
9,ORD-72804,08-11-2026,Plant A,MC-030,Press Brake,14.6,Night,OP0089,S. Kumar,Consumer Plastics,,Global Alloys,300.0,398.0,344.0,4.0,,Yes,31.9,23.85,53.6,37.0,3.22,97.18,4.05,15.05,7.84,84.0,21.0,Overdue,OK
10,ORD-91019,2026-09-05,,MC-009,Laser Cutter,13.9,Morning,OP0095,P. Rao,Home Appliance Component,ALUMINUM,,250.0,401.0,369.0,6.0,,No,1.7,39.24,76.7,33.5,4.59,84.4,17.38,63.18,9.78,128.5,25.0,,customer complaint logged
11,ORD-73393,2026/07/11 05:53,Plant-D,MC-040,Injection Molder,5.2,Night,OP0051,unknown,Automotive Parts,ABS Plastic,Precision Components Co,200.0,427.0,316.0,4.0,,Y,2.1,58.3,80.8,43.4,0.3,101.67,12.45,37.39,6.49,88.1,2.0,N/A,Routine check
12,ORD-89050,07-13-2026,Plant E,MC-017,Laser Cutter,9.1,1st Shift,OP0024,N. Fernandes,Electronics Housing,Steel,Precision Components Co,100.0,437.0,431.0,9.0,B,Yes,5.3,41.1,66.3,43.2,1.08,125.01,9.28,52.27,9.9,50.2,18.0,N/A,Routine check
13,ORD-21149,25-Aug-2026,Plant B,MC-037,Assembly Line,1.5,1st Shift,OP0078,,Medical Device Part,ALUMINUM,MetalWorks Pvt Ltd,100.0,644.0,621.0,15.0,grade b,,6.6,53.58,64.7,49.2,1.43,102.74,13.51,144.11,9.65,89.2,36.0,Overdue,Material shortage
14,ORD-67732,09/12/2025,Plant-D,MC-032,3D Printer,4.5,Morning,OP0010,P. Rao,Medical Device Part,steel,Precision Components Co,50.0,509.0,462.0,10.0,B,NO,26.7,57.7,66.4,54.3,2.67,94.34,40.76,265.92,8.37,85.9,77.0,Due,Power fluctuation
15,ORD-17705,2026-04-14,Plant-D,MC-007,Conveyor Unit,10.0,Evening,OP0108,A. Iyer,Medical Device Part,ALUMINUM,Poly Materials Inc,50.0,621.0,693.0,14.0,A+,No,29.0,28.73,65.8,45.1,2.79,149.97,42.25,564.38,7.1,90.0,25.0,DUE,Routine check
16,ORD-31455,2026-06-07,Plant C,MC-011,CNC Lathe,7.9,Evening,OP0097,M. Naidu,Aerospace Component,Aluminum,Precision Components Co,250.0,493.0,409.0,12.0,grade b,,67.1,32.91,64.9,47.8,3.12,100.42,27.19,257.82,7.4,82.3,18.0,DUE,  Late shift start 
